id,category,difficulty,focus_area,question,planner_tasks_count,planner_tasks,routing_decisions,agents_invoked,sql_queries_count,baseline_score,evaluation_time,routing_accuracy,routing_precision,routing_recall,routing_f1,numeric_precision,numeric_recall,numeric_f1,hallucination_rate,task_coverage,omission_rate,planned_tasks,completed_tasks,sql_correctness,sql_total_queries,sql_correct_queries,sql_violations,routing_per_class,final_answer
TC-001,Planner_Basics,Easy,Planner,Dime el precio de Bitcoin,1,Obtener precio de Bitcoin,1,Technical_Analyst,0,1.0,0.0003339999821037054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,1,1.0,0,0,,"{'Technical_Analyst': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0}}","**Informe Ejecutivo: Análisis Técnico de Bitcoin**

**Resumen Ejecutivo:** El precio del Bitcoin ha experimentado una ligera disminución en los últimos días.

**Detalle por Activo: Bitcoin**

* **Bitcoin:**
	+ Precio reportado:
		- Fecha 1: $31,456.21 (2023-12-01)
		- Fecha 2: $31,219.10 (2023-12-02)
		- Fecha 3: $30,982.99 (2023-12-03)

**Conclusión:** El análisis técnico de Bitcoin muestra una tendencia a la baja en los últimos días.

**Disclaimer legal:** Los precios y fechas reportados son p"
TC-002,Planner_Multi_Asset,Medium,Planner,Necesito el precio de Bitcoin y Ethereum,2,Obtener precio de Bitcoin; Obtener precio de Ethereum,2,Technical_Analyst; Technical_Analyst,1,0.701530612244898,0.014479800127446651,1.0,1.0,1.0,1.0,1.0,0.0025575447570332483,0.005102040816326531,0.0,1.0,0.0,2,2,1.0,1,1,,"{'Technical_Analyst': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0}}","**Informe Ejecutivo Consolidado**

**Resumen Ejecutivo**
Se han analizado dos activos financieros: Bitcoin y Ethereum. A continuación, se presentan los resultados detallados por cada uno de ellos.

**Detalle por Activo**

### **Bitcoin**

* Precio:
 + Fecha: 2023-12-01, Precio: $31,456.21
 + Fecha: 2023-12-02, Precio: $31,219.10
 + Fecha: 2023-12-03, Precio: $30,982.99

### **Ethereum**

* No se proporcionaron precios específicos en el reporte.
* Sin embargo, se incluye un análisis técnico que d"
TC-003,Planner_Precision,Hard,Planner,Dame el Top 3 de precios más altos de Bitcoin,1,Obtener Top 3 precios más altos de Bitcoin,1,Technical_Analyst,1,0.9249999999999999,0.0003846001345664263,1.0,1.0,1.0,1.0,1.0,0.6,0.7499999999999999,0.0,1.0,0.0,1,1,1.0,1,1,,"{'Technical_Analyst': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0}}","**Informe Ejecutivo: Análisis de Precios de Bitcoin**

**Resumen Ejecutivo:** Se presentan los 3 precios más altos registrados para el activo Bitcoin en la fecha del análisis.

**Detalle por Activo: Bitcoin**

* **Bitcoin:**
	+ Los 3 precios más altos registrados son:
		- Fecha: 2025-10-06, Precio: $124,752.53
		- Fecha: 2025-10-05, Precio: $123,513.48
		- Fecha: 2025-10-08, Precio: $123,354.87

**Conclusión:** El análisis de precios de Bitcoin muestra una tendencia a la baja en los últimos días"
TC-004,Planner_Temporal,Medium,Planner,¿Cuál fue el precio de cierre de Ethereum ayer?,1,Obtener precio cierre Ethereum ayer,1,Technical_Analyst,1,0.9142857142857143,0.00023330003023147583,1.0,1.0,1.0,1.0,1.0,0.5555555555555556,0.7142857142857143,0.0,1.0,0.0,1,1,1.0,1,1,,"{'Technical_Analyst': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0}}","**Informe Ejecutivo Consolidado**

**Resumen Ejecutivo**: Se ha analizado el precio cierre de Ethereum ayer.

**Detalle por Activo:**

* **Ethereum**:
 + Precio cierre ayer: 2958.74
 + Fecha del reporte: 2026-01-24

**Conclusión**: El precio cierre de Ethereum ayer fue de 2958.74, según el análisis realizado por Technical Analyst.

**Disclaimer legal**: Los datos proporcionados en este informe son solo una representación de los resultados obtenidos y no deben ser considerados como asesoramiento "
TC-005,Planner_Multi_Action,Hard,Planner,Busca noticias de Solana y calcula su volatilidad,2,Buscar noticias Solana; Calcular volatilidad Solana,2,Fundamental_Analyst; Risk_Officer,0,0.9307692307692308,0.00021529989317059517,1.0,1.0,1.0,1.0,1.0,0.625,0.7692307692307693,0.0,1.0,0.0,2,2,1.0,0,0,,"{'Fundamental_Analyst': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'Risk_Officer': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0}}","**Informe Ejecutivo: Análisis de Solana**

**Resumen Ejecutivo:** El análisis de Solana ha revelado una caída del 8.34% en las últimas 24 horas, lo que genera preocupación entre los inversores.

**Detalle por Activo: Solana**

* **Solana:**
	+ Caída del 8.34% en las últimas 24 horas.
	+ Volatilidad de 2,51% en un período de 30 días (riesgo medio).
	+ Importante tener en cuenta que rentabilidades pasadas no garantizan rentabilidades futuras.

**Conclusión:** El análisis de Solana muestra una caíd"
TC-006,Planner_Complex,Very Hard,Planner,"Necesito las últimas noticias de Bitcoin, el Top 3 de precios históricos de Ethereum y un gráfico de tendencia de Cardano",3,Buscar últimas noticias Bitcoin; Obtener Top 3 precios históricos Ethereum; Generar gráfico de tendencia Cardano,3,Fundamental_Analyst; Technical_Analyst; Technical_Analyst,1,0.919047619047619,0.00044669979251921177,1.0,1.0,1.0,1.0,1.0,0.5750000000000001,0.7301587301587301,0.0,1.0,0.0,3,3,1.0,1,1,,"{'Fundamental_Analyst': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'Technical_Analyst': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0}}","**Informe Ejecutivo Consolidado**

En este informe se presentan los análisis realizados por nuestros agentes sobre varios activos del mercado. A continuación, se detallarán los resultados obtenidos para cada uno de ellos.

**Detalle por Activo**

### **Bitcoin**

* Según el reporte del Fundamental Analyst, la privacidad digital se ha convertido en un factor clave debido a la vigilancia de stablecoins y la opacidad técnica en Bitcoin. Además, se menciona que los mercados están ajustando sus apues"
TC-007,Routing_Technical,Easy,Supervisor,¿Cuál es el precio actual de Bitcoin?,1,Obtener precio actual de Bitcoin,1,Technical_Analyst,1,0.9142857142857143,0.00014979997649788857,1.0,1.0,1.0,1.0,1.0,0.5555555555555556,0.7142857142857143,0.0,1.0,0.0,1,1,1.0,1,1,,"{'Technical_Analyst': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0}}","**Informe Ejecutivo Consolidado**

**Resumen Ejecutivo**: Se ha analizado el precio actual del Bitcoin.

**Detalle por Activo: Bitcoin**

* **Bitcoin**:
 + Precio actual: 89289.91
 + Fecha: 2026-01-24

**Conclusión**: El precio actual del Bitcoin es de 89289.91 USD, según el análisis realizado por Technical Analyst.

**Disclaimer legal**: Los datos proporcionados en este informe son solo para fines informativos y no deben ser considerados como asesoramiento financiero."
TC-008,Routing_Fundamental,Easy,Supervisor,¿Por qué subió Bitcoin hoy?,1,Investigar causa del aumento de precio de Bitcoin,1,Fundamental_Analyst,0,0.9400000000000001,0.0001829001121222973,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.8,0.0,1.0,0.0,1,1,1.0,0,0,,"{'Fundamental_Analyst': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0}}","**Informe Ejecutivo: Análisis del Precio de Bitcoin**

**Resumen Ejecutivo:** El precio de Bitcoin ha experimentado un aumento significativo debido a varios factores, incluyendo la entrada de fondos de inversión y el aumento en los precios de los ETFs.

**Detalle por Activo:**

### **Bitcoin:**

* La entrada de más de 1 mil millones de dólares en fondos de inversión en marzo de 2026 ha contribuido al aumento del precio.
* El aumento en los precios del Bitcoin respaldado por estos fondos de inver"
TC-009,Routing_Risk,Easy,Supervisor,¿Es seguro invertir en Dogecoin?,1,Investigar seguridad de Dogecoin,1,Risk_Officer,0,0.4,0.0002164000179618597,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,1.0,0,0,,"{'Fundamental_Analyst': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'Risk_Officer': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","**Informe Ejecutivo: Seguridad del Dogecoin**

**Resumen Ejecutivo:** El análisis realizado por el Risk Officer sobre el Dogecoin indica que su volatilidad es moderada, con un nivel de riesgo clasificado como medio.

**Detalle por Activo:**

* **Dogecoin:**
 + La volatilidad del Dogecoin es moderada, con un nivel de riesgo clasificado como medio.
 + El precio del Dogecoin puede fluctuar significativamente en un corto plazo, pero no hay indicaciones de una tendencia a largo plazo.
 + Es important"
TC-010,Routing_Multi_Task,Hard,Supervisor,Dame el precio de Bitcoin y evalúa el riesgo de Ethereum,2,Obtener precio de Bitcoin; Evaluar riesgo de Ethereum,2,Technical_Analyst; Risk_Officer,0,0.85,0.0001805000938475132,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.0,1.0,0.0,2,2,1.0,0,0,,"{'Risk_Officer': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'Technical_Analyst': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0}}","**Informe Ejecutivo: Evaluación del Riesgo de Ethereum**

**Resumen Ejecutivo:** El presente informe proporciona una evaluación consolidada del riesgo asociado al activo Ethereum, basada en los análisis realizados por nuestros agentes.

**Detalle por Activo:**

### **Ethereum**

* La volatilidad del Ethereum en relación con el dólar estadounidense es de 2,61%, lo que se considera un nivel de riesgo medio.
* Es importante tener en cuenta que rentabilidades pasadas no garantizan rentabilidades fut"
