id,category,difficulty,focus_area,question,planner_tasks_count,routing_decisions,agents_invoked,baseline_score,baseline_time,routing_f1,numeric_f1,hallucination_rate,task_coverage,llmj_overall,llmj_norm,llmj_time,llmj_error_cat,llmj_planner,llmj_supervisor,llmj_agents,HACE_score,HACE_time,HACE_layer1,HACE_layer2,HACE_layer3,HACE_layer3_used,HACE_quality
TC-001,Planner_Basics,Easy,Planner,Dime el precio de Bitcoin,1,1,Technical_Analyst,1.0,0.0003333999775350094,1.0,1.0,0.0,1.0,3.31,0.8275,612.3692943999777,Tool_Error,3.75,4.0,2.4,0.7751646934279374,131.9751033000648,0.8,0.7529117335698434,0.78,1,Bueno
TC-002,Planner_Multi_Asset,Medium,Planner,Necesito el precio de Bitcoin y Ethereum,2,2,Technical_Analyst; Technical_Analyst,0.7001027045532352,0.008495899965055287,1.0,0.000342348510783978,0.0,1.0,3.4025000000000003,0.8506250000000001,883.2456883999985,Tool_Error,3.0,4.0,3.1,0.7684632865382093,317.82601369998883,0.8,0.6536582163455231,0.89,1,Bueno
TC-003,Planner_Precision,Hard,Planner,Dame el Top 3 de precios más altos de Bitcoin,1,1,Technical_Analyst,0.9249999999999999,0.00025299994740635157,1.0,0.7499999999999999,0.0,1.0,4.0,1.0,453.191924200044,None,4.0,4.0,4.0,0.8706308123043605,121.45517710002605,0.8,0.8265770307609013,1.0,1,Bueno
TC-004,Planner_Temporal,Medium,Planner,¿Cuál fue el precio de cierre de Ethereum ayer?,1,1,Technical_Analyst,0.9142857142857143,0.00015510001685470343,1.0,0.7142857142857143,0.0,1.0,3.95,0.9875,448.32920919999015,None,3.75,4.0,4.0,0.8575029480457306,115.17136629996821,0.8,0.7937573701143265,1.0,1,Bueno
TC-005,Planner_Multi_Action,Hard,Planner,Busca noticias de Solana y calcula su volatilidad,2,2,Fundamental_Analyst; Risk_Officer,1.0,0.00018540001474320889,1.0,1.0,0.0,1.0,3.9625000000000004,0.9906250000000001,606.7993158999598,None,4.0,4.0,4.0,0.9302693634033203,248.39498109999113,1.0,0.8256734085083007,1.0,1,Excelente
TC-006,Planner_Complex,Very Hard,Planner,"Necesito las últimas noticias de Bitcoin, el Top 3 de precios históricos de Ethereum y un gráfico de tendencia de Cardano",3,3,Fundamental_Analyst; Technical_Analyst; Technical_Analyst,0.9785714285714285,0.00037050002720206976,1.0,0.9285714285714286,0.0,1.0,3.9625000000000004,0.9906250000000001,759.3642982000019,None,4.0,4.0,4.0,0.8389552584716251,450.8489102999447,0.8,0.7473881461790629,1.0,1,Bueno
TC-007,Routing_Technical,Easy,Supervisor,¿Cuál es el precio actual de Bitcoin?,1,1,Technical_Analyst,0.9142857142857143,0.0002738999901339412,1.0,0.7142857142857143,0.0,1.0,3.95,0.9875,562.1129227000056,None,3.75,4.0,4.0,0.8685003805160523,132.79918249999173,0.8,0.8212509512901306,1.0,1,Bueno
TC-008,Routing_Fundamental,Easy,Supervisor,¿Por qué subió Bitcoin hoy?,1,1,Fundamental_Analyst,0.76,0.0003377000102773309,1.0,0.19999999999999998,0.0,1.0,3.85,0.9625,566.6864146000007,None,3.25,4.0,4.0,0.9136655712127686,0.2068718000082299,1.0,0.8561092853546143,,0,Excelente
TC-009,Routing_Risk,Easy,Supervisor,¿Es seguro invertir en Dogecoin?,1,1,Risk_Officer,0.4,0.00014549994375556707,0.0,0.0,0.0,1.0,3.95,0.9875,468.62821270001587,None,3.75,4.0,4.0,0.8963542096316814,188.43771309999283,1.0,0.7408855240792036,1.0,1,Excelente
TC-010,Routing_Multi_Task,Hard,Supervisor,Dame el precio de Bitcoin y evalúa el riesgo de Ethereum,2,2,Technical_Analyst; Risk_Officer,0.85,0.00018199998885393143,1.0,0.5,0.0,1.0,3.5900000000000003,0.8975000000000001,622.6477274999488,None,3.75,4.0,3.1,0.7892485802911576,240.7099458000157,0.8,0.7056214507278942,0.89,1,Bueno
TC-011,Routing_Edge_Chart,Medium,Supervisor,Genera un gráfico de Cardano,1,1,Technical_Analyst,1.0,0.0001351999817416072,1.0,1.0,0.0,1.0,3.95,0.9875,458.68522230000235,None,3.75,4.0,4.0,0.9622471383213996,0.04626580001786351,1.0,0.9370785638689995,,0,Excelente
TC-012,Routing_Prediction,Medium,Supervisor,Predice el precio de Ethereum para mañana,1,1,Technical_Analyst,0.7000000000000001,0.0001406000228598714,1.0,0.0,0.0,1.0,3.95,0.9875,444.4045284000458,None,3.75,4.0,4.0,0.8327440929412842,200.44737030006945,1.0,0.5888914823532104,0.9906250000000001,1,Bueno
TC-013,Routing_Concept,Easy,Supervisor,¿Qué es el Halving de Bitcoin?,1,1,Fundamental_Analyst,0.7857142857142857,0.00019669998437166214,1.0,0.2857142857142857,0.0,1.0,3.95,0.9875,495.66709570004605,None,3.75,4.0,4.0,0.9585112726688385,0.14308660000097007,1.0,0.9308521211147308,,0,Excelente
TC-014,Routing_Volatility,Easy,Supervisor,Calcula la volatilidad de Solana,1,1,Risk_Officer,1.0,0.00013840000610798597,1.0,1.0,0.0,1.0,4.0,1.0,461.8975016999757,None,4.0,4.0,4.0,0.9380906069278718,120.12833800003864,1.0,0.8452265173196792,1.0,1,Excelente
TC-015,Routing_Completion,Hard,Supervisor,"Dame noticias de Bitcoin, precio de Ethereum y volatilidad de Cardano",3,3,Fundamental_Analyst; Technical_Analyst; Risk_Officer,0.7857142857142857,0.0002657999284565449,1.0,0.2857142857142857,0.0,1.0,3.6725000000000003,0.9181250000000001,812.6141895999899,None,3.75,4.0,3.4,0.7658097079930798,436.22036349994596,0.8,0.6195242699826994,0.9266666666666667,1,Bueno
TC-016,Technical_SQL_Simple,Easy,Technical_Analyst,Dame el precio de cierre de Bitcoin del último día disponible,1,1,Technical_Analyst,0.6142857142857142,0.00016930000856518745,1.0,0.7142857142857143,0.0,1.0,3.95,0.9875,501.82572279998567,None,3.75,4.0,4.0,0.8682560734947522,138.17541989998426,0.8,0.8206401837368806,1.0,1,Bueno
TC-017,Technical_SQL_Top,Medium,Technical_Analyst,¿Cuáles fueron los 3 días con el precio más alto de Ethereum?,1,1,Technical_Analyst,0.7947368421052632,0.0003163999645039439,1.0,0.31578947368421056,0.8,1.0,3.2600000000000002,0.8150000000000001,558.098500299966,Fabrication,3.5,4.0,2.4,0.8581821728817054,142.5626102000242,0.8,0.7954554322042635,1.0,1,Bueno
TC-018,Technical_Chart,Easy,Technical_Analyst,Muéstrame un gráfico de la tendencia de Bitcoin,1,1,Technical_Analyst,1.0,0.00012119999155402184,1.0,1.0,0.0,1.0,4.0,1.0,540.9694706998998,None,4.0,4.0,4.0,0.9671925953030586,0.05436770000960678,1.0,0.9453209921717644,,0,Excelente
TC-019,Technical_Prediction,Medium,Technical_Analyst,Predice el precio de Cardano para mañana,1,1,Technical_Analyst,0.7000000000000001,0.00017159990966320038,1.0,0.0,0.0,1.0,3.95,0.9875,8087.2278748999815,None,3.75,4.0,4.0,0.9381225639581681,109.54694619996008,1.0,0.84530640989542,1.0,1,Excelente
TC-020,Technical_Completeness,Hard,Technical_Analyst,Dame los Top 5 precios históricos de Solana,1,1,Technical_Analyst,0.9272727272727272,0.0004018000327050686,1.0,0.7575757575757575,0.0,1.0,3.9625000000000004,0.9906250000000001,516.8917169000488,None,4.0,4.0,4.0,0.8879852736809037,128.56559989997186,0.8,0.8699631842022593,1.0,1,Excelente
TC-021,Technical_Exclusivity,Hard,Technical_Analyst,Dame el precio de Bitcoin y genera un gráfico,2,2,Technical_Analyst; Technical_Analyst,1.0,0.0001626999583095312,1.0,1.0,0.0,1.0,3.6300000000000003,0.9075000000000001,610.9727712000022,None,3.75,4.0,3.2,0.8190061117751258,314.66032200003974,0.8,0.7800152794378145,0.89,1,Bueno
TC-022,Technical_Unknown_Asset,Medium,Technical_Analyst,Dame el precio de Monero (XMR),1,1,Technical_Analyst,0.711764705882353,0.00029470003210008144,1.0,0.0392156862745098,0.98,1.0,3.2700000000000005,0.8175000000000001,672.5712338999147,Incompleteness,3.5,4.0,2.8,0.7778978643332208,182.60400139994454,0.8,0.7747446608330523,0.7600000000000001,1,Bueno
TC-023,Fundamental_RAG_Concept,Medium,Fundamental_Analyst,Explícame qué es el Halving de Bitcoin,1,1,Fundamental_Analyst,0.7857142857142857,0.0002794000320136547,1.0,0.2857142857142857,0.0,1.0,4.0,1.0,641.1619635999668,None,4.0,4.0,4.0,0.9585112726688385,0.16151759994681925,1.0,0.9308521211147308,,0,Excelente
TC-024,Fundamental_RAG_Empty,Hard,Fundamental_Analyst,Explícame cómo funciona el algoritmo de consenso de Polkadot,1,1,Fundamental_Analyst,0.7000000000000001,0.00025150005239993334,1.0,0.0,0.0,1.0,3.95,0.9875,655.3307642999571,None,3.75,4.0,4.0,0.9384619572758675,187.47664290003013,1.0,0.8461548931896686,1.0,1,Excelente
TC-025,Fundamental_News,Easy,Fundamental_Analyst,Busca noticias recientes sobre por qué bajó Solana,1,1,Fundamental_Analyst,0.82,0.00030019995756447315,1.0,0.4,0.0,1.0,4.0,1.0,629.2064003000269,None,4.0,4.0,4.0,0.9544262154897054,174.30679579998832,1.0,0.8860655387242635,1.0,1,Excelente
TC-026,Fundamental_News_Empty,Medium,Fundamental_Analyst,Busca noticias de Dogecoin de hace 10 años,1,1,Fundamental_Analyst,0.7857142857142857,0.00024079997092485428,1.0,0.28571428571428575,0.5,1.0,3.95,0.9875,635.8864831000101,None,3.75,4.0,4.0,0.9673330089449882,0.13102800003252923,1.0,0.9455550149083137,,0,Excelente
TC-027,Fundamental_Citation,Hard,Fundamental_Analyst,Dame contexto sobre por qué Bitcoin es importante,1,1,Fundamental_Analyst,0.9249999999999999,0.00027600000612437725,1.0,0.7499999999999999,0.0,1.0,3.95,0.9875,654.9654952000128,None,3.75,4.0,4.0,0.9462948548793793,0.2593334000557661,1.0,0.9104914247989655,,0,Excelente
TC-028,Risk_Volatility_Basic,Easy,Risk_Officer,¿Cuál es la volatilidad de Bitcoin?,1,1,Risk_Officer,0.85,0.0001892000436782837,1.0,0.5,0.0,1.0,4.0,1.0,590.9615183999995,None,4.0,4.0,4.0,0.9409596407413483,149.9038961000042,1.0,0.8523991018533706,1.0,1,Excelente
TC-029,Risk_High_Warning,Hard,Risk_Officer,¿Es seguro invertir en Dogecoin ahora?,1,1,Risk_Officer,0.4,0.0002066000597551465,0.0,0.0,0.0,1.0,3.95,0.9875,618.1734171999851,None,3.75,4.0,4.0,0.8963542096316814,242.6746544999769,1.0,0.7408855240792036,1.0,1,Excelente
TC-030,Risk_No_Data,Medium,Risk_Officer,Calcula el riesgo de una criptomoneda nueva (PolkaCoin),1,1,Risk_Officer,1.0,0.0001583000412210822,1.0,1.0,0.0,1.0,3.95,0.9875,566.11426079995,None,3.75,4.0,4.0,0.8801632119417191,153.52722819999326,1.0,0.8204080298542976,0.84,1,Excelente
TC-031,Risk_Tone,Easy,Risk_Officer,¿Debería invertir todo mi dinero en Solana?,3,3,Risk_Officer; Risk_Officer; Technical_Analyst,0.7464937560038424,0.0017043000552803278,0.5555555555555555,0.5994236311239193,0.0,1.0,3.9125,0.978125,1068.0211614998989,None,3.75,4.0,4.0,0.7500419967136687,709.4710768000223,0.8,0.5344799917841715,0.9875,1,Bueno
TC-032,Risk_Hallucination,Hard,Risk_Officer,Evalúa el riesgo de Ethereum,1,1,Risk_Officer,0.85,0.0002769000129774213,1.0,0.5,0.0,1.0,4.0,1.0,593.8978795999428,None,4.0,4.0,4.0,0.9416460319360098,159.61839750001673,1.0,0.8541150798400243,1.0,1,Excelente
TC-033,Final_Consolidation,Medium,Final_Output,Dame el precio de Bitcoin y las noticias de Ethereum,2,2,Technical_Analyst; Fundamental_Analyst,0.9,0.00034089991822838783,1.0,0.6666666666666666,0.0,1.0,3.5525,0.888125,829.1971808000235,None,3.75,4.0,3.1,0.7736247088057655,434.4765740999719,0.8,0.6759367720144136,0.8775000000000001,1,Bueno
TC-034,Final_Chart_Attribution,Hard,Final_Output,Genera gráficos de Bitcoin y Ethereum,2,2,Technical_Analyst; Technical_Analyst,1.0,0.00021850003395229578,1.0,1.0,0.0,1.0,3.8725,0.968125,762.5796153999399,None,3.75,4.0,3.9,0.9583178417682648,0.08023600000888109,1.0,0.9305297362804413,,0,Excelente
TC-035,Final_Completeness,Very Hard,Final_Output,"Dame precio de BTC, noticias de ETH, volatilidad de ADA y gráfico de SOL",4,4,Technical_Analyst; Fundamental_Analyst; Risk_Officer; Technical_Analyst,1.0,0.00040259992238134146,1.0,1.0,0.0,1.0,3.4725,0.868125,1180.3975414999295,Tool_Error,3.25,4.0,3.15,0.7503662379236042,877.4737445999635,0.8,0.5741968448090107,0.935625,1,Bueno
TC-036,Final_Hallucination,Hard,Final_Output,Dame el precio de Cardano,1,1,Technical_Analyst,0.7000000000000001,0.0002033999189734459,1.0,0.0,1.0,1.0,3.95,0.9875,589.6874457999365,None,3.75,4.0,4.0,0.8493055968619883,156.38143279997166,1.0,0.7432639921549707,0.84,1,Bueno
TC-037,End_to_End_Simple,Easy,System,¿Cuál es el precio de Bitcoin?,1,1,Technical_Analyst,1.0,0.00019080005586147308,1.0,1.0,0.0,1.0,3.0700000000000003,0.7675000000000001,615.6107618999667,Tool_Error,3.75,4.0,1.8,0.7751646934279374,158.32904290000442,0.8,0.7529117335698434,0.78,1,Bueno
TC-038,End_to_End_Multi,Hard,System,"Dame el precio de Bitcoin, la volatilidad de Ethereum y un gráfico de Cardano",3,3,Technical_Analyst; Risk_Officer; Technical_Analyst,0.9400000000000001,0.000305499997921288,1.0,0.8,0.0,1.0,3.736666666666667,0.9341666666666667,1002.7008341000183,None,3.75,4.0,3.466666666666667,0.7732767994621443,553.3018922000192,0.8,0.6475669986553608,0.9141666666666667,1,Bueno
TC-039,End_to_End_Complex,Very Hard,System,"Necesito un análisis completo de Solana: precio actual, Top 3 históricos, noticias recientes, volatilidad y un gráfico de tendencia",4,4,Fundamental_Analyst; Technical_Analyst; Risk_Officer; Technical_Analyst,0.9641221374045802,0.0007689000340178609,1.0,0.8804071246819338,0.0,1.0,3.9625000000000004,0.9906250000000001,1245.683711300022,None,4.0,4.0,4.0,0.8030708087707052,718.3965460000327,0.8,0.657677021926763,1.0,1,Bueno
TC-040,Loop_Detection,Hard,Supervisor,Dame información sobre una criptomoneda que no existe (FakeCoin),1,1,Fundamental_Analyst,0.7000000000000001,0.00022769998759031296,1.0,0.0,0.0,1.0,3.1925,0.798125,618.2262525999686,Fabrication,3.75,4.0,2.2,0.8541809288263321,184.7081259000115,1.0,0.7704523220658303,0.8200000000000001,1,Bueno
TC-041,Out_of_Domain,Easy,Supervisor,¿Qué tiempo hace en Madrid?,1,1,Technical_Analyst,0.7000000000000001,0.00016870000399649143,0.0,1.0,0.0,1.0,3.4,0.85,595.481351400027,Planning_Error,1.0,4.0,4.0,0.8908921980857849,158.0616994999582,1.0,0.7366054952144623,0.9875,1,Excelente
TC-042,Ambiguous_Request,Medium,Planner,Háblame de Bitcoin,1,1,Fundamental_Analyst,0.95,0.0002908000024035573,1.0,0.8333333333333333,0.0,1.0,3.95,0.9875,629.1854578000493,None,3.75,4.0,4.0,0.9458580380678177,0.15065720002166927,1.0,0.9097633967796961,,0,Excelente
TC-043,Precision_Date,Hard,Planner + Technical,Dame el precio de cierre de Ethereum del 15 de enero de 2024,1,1,Technical_Analyst,0.8,0.00015249999705702066,1.0,0.33333333333333337,0.8,1.0,3.7100000000000004,0.9275000000000001,470.49269710003864,None,3.75,4.0,3.4,0.8001537009676298,125.17574949993286,0.8,0.7853842524190744,0.8200000000000001,1,Bueno
TC-044,Multi_Asset_Consolidation,Very Hard,System,"Compara el precio de Bitcoin, Ethereum y Cardano",3,3,Technical_Analyst; Technical_Analyst; Technical_Analyst,0.9290076335877863,0.0027664999943226576,1.0,0.7633587786259541,0.0,1.0,3.9125,0.978125,839.1685574000003,None,3.75,4.0,4.0,0.8265669532238491,424.0238704000367,0.8,0.7164173830596227,1.0,1,Bueno
