id,category,difficulty,focus_area,overall_score,error_category,planner_score,supervisor_score,agents_avg_score,final_output_score
TC-001,Planner_Basics,Easy,Planner,3.23,Tool_Error,3.75,4.0,2.2,4.0
TC-002,Planner_Multi_Asset,Medium,Planner,3.4025000000000003,Tool_Error,3.0,4.0,3.1,3.75
TC-003,Planner_Precision,Hard,Planner,4.0,None,4.0,4.0,4.0,4.0
TC-004,Planner_Temporal,Medium,Planner,3.9125,None,3.75,4.0,4.0,3.75
TC-005,Planner_Multi_Action,Hard,Planner,3.9625000000000004,None,4.0,4.0,4.0,3.75
TC-006,Planner_Complex,Very Hard,Planner,3.9625000000000004,None,4.0,4.0,4.0,3.75
TC-007,Routing_Technical,Easy,Supervisor,3.9125,None,3.75,4.0,4.0,3.75
TC-008,Routing_Fundamental,Easy,Supervisor,3.8125,None,3.25,4.0,4.0,3.75
TC-009,Routing_Risk,Easy,Supervisor,3.95,None,3.75,4.0,4.0,4.0
TC-010,Routing_Multi_Task,Hard,Supervisor,3.5525,None,3.75,4.0,3.1,3.75
TC-011,Routing_Edge_Chart,Medium,Supervisor,3.9125,None,3.75,4.0,4.0,3.75
TC-012,Routing_Prediction,Medium,Supervisor,3.95,None,3.75,4.0,4.0,4.0
TC-013,Routing_Concept,Easy,Supervisor,3.95,None,3.75,4.0,4.0,4.0
TC-014,Routing_Volatility,Easy,Supervisor,4.0,None,4.0,4.0,4.0,4.0
TC-015,Routing_Completion,Hard,Supervisor,3.6725000000000003,None,3.75,4.0,3.4,3.75
TC-016,Technical_SQL_Simple,Easy,Technical_Analyst,3.95,None,3.75,4.0,4.0,4.0
TC-017,Technical_SQL_Top,Medium,Technical_Analyst,3.18,Tool_Error,3.5,4.0,2.2,4.0
TC-018,Technical_Chart,Easy,Technical_Analyst,4.0,None,4.0,4.0,4.0,4.0
TC-019,Technical_Prediction,Medium,Technical_Analyst,3.95,None,3.75,4.0,4.0,4.0
TC-020,Technical_Completeness,Hard,Technical_Analyst,3.7225,None,4.0,4.0,3.4,3.75
TC-021,Technical_Exclusivity,Hard,Technical_Analyst,3.5900000000000003,None,3.75,4.0,3.1,4.0
TC-022,Technical_Unknown_Asset,Medium,Technical_Analyst,2.87,Tool_Error,3.5,4.0,1.8,3.0
TC-023,Fundamental_RAG_Concept,Medium,Fundamental_Analyst,4.0,None,4.0,4.0,4.0,4.0
TC-024,Fundamental_RAG_Empty,Hard,Fundamental_Analyst,3.95,None,3.75,4.0,4.0,4.0
TC-025,Fundamental_News,Easy,Fundamental_Analyst,4.0,None,4.0,4.0,4.0,4.0
TC-026,Fundamental_News_Empty,Medium,Fundamental_Analyst,3.95,None,3.75,4.0,4.0,4.0
TC-027,Fundamental_Citation,Hard,Fundamental_Analyst,3.95,None,3.75,4.0,4.0,4.0
TC-028,Risk_Volatility_Basic,Easy,Risk_Officer,4.0,None,4.0,4.0,4.0,4.0
TC-029,Risk_High_Warning,Hard,Risk_Officer,3.95,None,3.75,4.0,4.0,4.0
TC-030,Risk_No_Data,Medium,Risk_Officer,3.23,Tool_Error,3.75,4.0,2.2,4.0
TC-031,Risk_Tone,Easy,Risk_Officer,3.9125,None,3.75,4.0,4.0,3.75
TC-032,Risk_Hallucination,Hard,Risk_Officer,4.0,None,4.0,4.0,4.0,4.0
TC-033,Final_Consolidation,Medium,Final_Output,3.5900000000000003,None,3.75,4.0,3.1,4.0
TC-034,Final_Chart_Attribution,Hard,Final_Output,3.6325000000000003,None,3.75,4.0,3.3,3.75
TC-035,Final_Completeness,Very Hard,Final_Output,3.6325,None,3.25,4.0,3.55,3.75
TC-036,Final_Hallucination,Hard,Final_Output,3.31,Fabrication,3.75,4.0,2.4,4.0
TC-037,End_to_End_Simple,Easy,System,3.23,Tool_Error,3.75,4.0,2.2,4.0
TC-038,End_to_End_Multi,Hard,System,3.7100000000000004,None,3.75,4.0,3.4,4.0
TC-039,End_to_End_Complex,Very Hard,System,3.9625000000000004,None,4.0,4.0,4.0,3.75
TC-040,Loop_Detection,Hard,Supervisor,3.1925,Fabrication,3.75,4.0,2.2,3.75
TC-041,Out_of_Domain,Easy,Supervisor,3.4,Planning_Error,1.0,4.0,4.0,4.0
TC-042,Ambiguous_Request,Medium,Planner,3.95,None,3.75,4.0,4.0,4.0
TC-043,Precision_Date,Hard,Planner + Technical,3.23,Tool_Error,3.75,4.0,2.2,4.0
TC-044,Multi_Asset_Consolidation,Very Hard,System,3.8858333333333333,None,3.75,4.0,3.9333333333333336,3.75
TC-045,Risk_Multi_Asset,Hard,Risk_Officer,3.95,None,3.75,4.0,4.0,4.0
