id,category,difficulty,focus_area,hybrid_score,quality_label,confidence,layer1_score,layer2_score,layer3_score,layer3_used,evaluation_time
TC-001,Planner_Basics,Easy,Planner,0.7751646934279374,Bueno,high,0.8,0.7529117335698434,0.78,1,214.74839349999093
TC-002,Planner_Multi_Asset,Medium,Planner,0.7699217509324837,Bueno,high,0.8,0.6573043773312094,0.89,1,573.6427828001324
TC-003,Planner_Precision,Hard,Planner,0.8706308123043605,Bueno,high,0.8,0.8265770307609013,1.0,1,220.53414550004527
TC-004,Planner_Temporal,Medium,Planner,0.8621336527665457,Bueno,high,0.8,0.805334131916364,1.0,1,228.27614400000311
TC-005,Planner_Multi_Action,Hard,Planner,0.9349722261428834,Excelente,high,1.0,0.8374305653572083,1.0,1,449.41687240009196
TC-006,Planner_Complex,Very Hard,Planner,0.8377028069325856,Bueno,high,0.8,0.7442570173314639,1.0,1,797.5478308000602
TC-007,Routing_Technical,Easy,Supervisor,0.8686784036954245,Bueno,high,0.8,0.821696009238561,1.0,1,209.13821230013855
TC-008,Routing_Fundamental,Easy,Supervisor,0.925009171962738,Excelente,high,1.0,0.812522929906845,1.0,1,255.64295549993403
TC-009,Routing_Risk,Easy,Supervisor,0.8955199889838696,Excelente,high,1.0,0.7387999724596739,1.0,1,318.7800694000907
TC-010,Routing_Multi_Task,Hard,Supervisor,0.7884773677133379,Bueno,high,0.8,0.7036934192833446,0.89,1,439.4983919998631
TC-011,Routing_Edge_Chart,Medium,Supervisor,0.9622576302289962,Excelente,high,1.0,0.9370960503816604,,0,0.08321809978224337
TC-012,Routing_Prediction,Medium,Supervisor,0.8337057244777679,Bueno,medium,1.0,0.5912955611944198,0.9906250000000001,1,371.0695718000643
TC-013,Routing_Concept,Easy,Supervisor,0.9585112726688385,Excelente,high,1.0,0.9308521211147308,,0,0.24913490004837513
TC-014,Routing_Volatility,Easy,Supervisor,0.9366723322868347,Excelente,high,1.0,0.8416808307170868,1.0,1,220.922199399909
TC-015,Routing_Completion,Hard,Supervisor,0.7635353808473974,Bueno,high,0.8,0.6138384521184933,0.9266666666666667,1,774.8365724000614
TC-016,Technical_SQL_Simple,Easy,Technical_Analyst,0.8684193455179532,Bueno,high,0.8,0.8210483637948831,1.0,1,210.95943129993975
TC-017,Technical_SQL_Top,Medium,Technical_Analyst,0.8581821728817054,Bueno,high,0.8,0.7954554322042635,1.0,1,214.87035209988244
TC-018,Technical_Chart,Easy,Technical_Analyst,0.9683560392260552,Excelente,high,1.0,0.9472600653767586,,0,0.08736669993959367
TC-019,Technical_Prediction,Medium,Technical_Analyst,0.9377636039257049,Excelente,high,1.0,0.8444090098142624,1.0,1,210.3451483999379
TC-020,Technical_Completeness,Hard,Technical_Analyst,0.8879852736809037,Excelente,high,0.8,0.8699631842022593,1.0,1,226.35896850004792
TC-021,Technical_Exclusivity,Hard,Technical_Analyst,0.818856134567942,Bueno,high,0.8,0.7796403364198549,0.89,1,420.99956699996255
TC-022,Technical_Unknown_Asset,Medium,Technical_Analyst,0.7778978643332208,Bueno,high,0.8,0.7747446608330523,0.7600000000000001,1,245.16330019989982
TC-023,Fundamental_RAG_Concept,Medium,Fundamental_Analyst,0.9585112726688385,Excelente,high,1.0,0.9308521211147308,,0,0.21792239998467267
TC-024,Fundamental_RAG_Empty,Hard,Fundamental_Analyst,0.9384619572758675,Excelente,high,1.0,0.8461548931896686,1.0,1,253.83910079998896
TC-025,Fundamental_News,Easy,Fundamental_Analyst,0.9425759026408196,Excelente,high,1.0,0.8564397566020489,1.0,1,236.37974600004964
TC-026,Fundamental_News_Empty,Medium,Fundamental_Analyst,0.9441979682445526,Excelente,high,1.0,0.906996613740921,,0,0.20622759987600148
TC-027,Fundamental_Citation,Hard,Fundamental_Analyst,0.9462948548793793,Excelente,high,1.0,0.9104914247989655,,0,0.27714799996465445
TC-028,Risk_Volatility_Basic,Easy,Risk_Officer,0.9297579361995061,Excelente,high,1.0,0.8243948404987653,1.0,1,208.68748750002123
TC-029,Risk_High_Warning,Hard,Risk_Officer,0.8955199889838696,Excelente,high,1.0,0.7387999724596739,1.0,1,313.61657339986414
TC-030,Risk_No_Data,Medium,Risk_Officer,0.8801632119417191,Excelente,high,1.0,0.8204080298542976,0.84,1,210.42522910004482
TC-031,Risk_Tone,Easy,Risk_Officer,0.7485647704771587,Bueno,medium,0.8,0.5307869261928967,0.9875,1,972.8400810000021
TC-032,Risk_Hallucination,Hard,Risk_Officer,0.9403871619701385,Excelente,high,1.0,0.8509679049253464,1.0,1,209.9618516000919
TC-033,Final_Consolidation,Medium,Final_Output,0.7697914840323584,Bueno,high,0.8,0.6663537100808961,0.8775000000000001,1,592.1744820999447
TC-034,Final_Chart_Attribution,Hard,Final_Output,0.959278737783432,Excelente,high,1.0,0.9321312296390534,,0,0.12311669997870922
TC-035,Final_Completeness,Very Hard,Final_Output,0.7619377448666257,Bueno,high,0.8,0.6031256121665644,0.935625,1,1266.8983265000861
TC-036,Final_Hallucination,Hard,Final_Output,0.8493055968619883,Bueno,high,1.0,0.7432639921549707,0.84,1,212.33959680004045
TC-037,End_to_End_Simple,Easy,System,0.7751646934279374,Bueno,high,0.8,0.7529117335698434,0.78,1,223.29839150002226
TC-038,End_to_End_Multi,Hard,System,0.7729744608619856,Bueno,high,0.8,0.6468111521549641,0.9141666666666667,1,761.7431055000052
TC-039,End_to_End_Complex,Very Hard,System,0.8216749712885643,Bueno,high,0.8,0.7041874282214106,1.0,1,1019.0098411999643
TC-040,Loop_Detection,Hard,Supervisor,0.8541809288263321,Bueno,high,1.0,0.7704523220658303,0.8200000000000001,1,252.2242600999307
TC-041,Out_of_Domain,Easy,Supervisor,0.8908921980857849,Excelente,high,1.0,0.7366054952144623,0.9875,1,232.76110420003533
TC-042,Ambiguous_Request,Medium,Planner,0.9458580380678177,Excelente,high,1.0,0.9097633967796961,,0,0.2408155999146402
